¶ Letres certaines dau	¶ Letres certaines d’au¬
cuns grandz troubles ⁊ tumultes adue¬	cuns grandz troubles et tumultes adve¬
nuz a Geneue/ auec la disputation faicte	nuz a Geneve/ avec la disputation faicte
lan .1534. Par mõsieur nostre Maistre	l’an .1534. Par monsieur nostre Maistre
la faculte de theologie/ de lordre de sainct	la faculte de theologie/ de l’ordre de sainct
Dominicque/ du cõuent des freres	Dominicque/ du convent des freres
p̃scheurs de Montmellian. Alen¬	prescheurs de Montmellian. A l’en¬
contre daucũs quon appelle	contre d’aucuns qu’on appelle
auec les Ambassa¬	avec les Ambassa¬
deurs de la sei¬	deurs de la sei¬
gneurie de	gneurie de
Berne.	Berne.
¶ Uestez uous de larmeure de Dieu:	¶ Vestez vous de l’armeure de Dieu:
affin que puissiez estre fermes contre	affin que puissiez estre fermes contre
les embusches du diable.	les embusches du diable.
¶ Limprimeur au lecteur.	¶ L’imprimeur au lecteur.
NG Notaire de¬	NG Notaire de¬
meurant a Geneue/ apres	meurant a Geneve/ apres
auoir biẽ ⁊ entieremẽt ueu/	avoir bien et entierement veu/
ouy/ et selon la pure uerite	ouy/ et selon la pure verite
tradictions/ et les disputations qui sont	tradictions/ et les disputations qui sont
ensuyuies/ a cause daucuns articles pu¬	ensuyvies/ a cause d’aucuns articles pu¬
blicquement preschez par nostre Maistre	blicquement preschez par nostre Maistre
Furbiti/ qui preschoit alors les aduentz	Furbiti/ qui preschoit alors les adventz
ung sien amy ⁊ compaignon de Uienne.	ung sien amy et compaignon de Vienne.
Lequel cõme mon familier amy me les	Lequel comme mon familier amy me les
cõmuniqua. Et moy uoyãt la chose estre	communiqua. Et moy voyant la chose estre
dimportãce/ ueu ⁊ cõsidere le gros bruyt	d’importance/ veu et considere le gros bruyt
nostredict Maistre Furbiti triũphoit de	nostredict Maistre Furbiti triumphoit de
prescher/ disputer/ ⁊ en grande hardiesse	prescher/ disputer/ et en grande hardiesse
resister aux Lutheriens: trouuay le moyẽ	resister aux Lutheriens: trouvay le moyen
dauoir lesdictes letres missiues/ lesq̃lles	d’avoir lesdictes letres missives/ lesquelles
cordantes auec le tesmoingnage de plu¬	cordantes avec le tesmoingnage de plu¬
sieurs gens de bien qui auoient este pre¬	sieurs gens de bien qui avoient este pre¬
sentz a toutes les choses cõtenues en icel¬	sentz a toutes les choses contenues en icel¬
les: les ay uoulu fidellement imprimer	les: les ay voulu fidellement imprimer
A celle fin que tous puissent ueoir ⁊ con¬	A celle fin que tous puissent veoir et con¬
gnoistre (cõme silz eussent este presentz)	gnoistre (comme s’ilz eussent este presentz)
toutes ces grãdz nouuelles de Geneue/	toutes ces grandz nouvelles de Geneve/
que tant on desire scauoir. Et que ung	que tant on desire scavoir. Et que ung
putatiõs/ ⁊ soit mieulx aduise cy apres.	putations/ et soit mieulx advise cy apres.
Car plus facilement se peult on garder	Car plus facilement se peult on garder
des coupz que lon uoit uenir de loing/	des coupz que l’on voit venir de loing/
que de ceulx desquelz lon ne sen donne	que de ceulx desquelz l’on ne s’en donne
uain ⁊ de son compaignõ auquel il escri¬	vain et de son compaignon auquel il escri¬
uoit/ ie ne les ay icy uoulu mettre poͬ bõ	voit/ je ne les ay icy voulu mettre pour bon
respect. Car ie ne desire point nuyre/ fas¬	respect. Car je ne desire point nuyre/ fas¬
cher/ ou porter dommage a aucun: mais	cher/ ou porter dommage a aucun: mais
nauroient a gre/ que leur amitie ⁊ fami¬	n’auroient a gre/ que leur amitie et fami¬
