¶ Declaration de la	¶ Declaration de la
Messe/ Le fruict dicelle/ La	Messe/ Le fruict d’icelle/ La
cause/ et le moyen/ pour¬	cause/ et le moyen/ pour¬
quoy ⁊ cõmẽt on la	quoy et comment on la
tenir.	tenir.
Iesus dit. Iehan.ui.	Jesus dit. Jehan.vi.
Ie suis le pain de uie. Qui uiẽt	Je suis le pain de vie. Qui vient
a moy/ il naura point faim: et	a moy/ il n’aura point faim: et
mais soif.	mais soif.
Cephas Geranius aux lecteurs. S.	Cephas Geranius aux lecteurs. S.
¶ Ap̃s auoir ꝯsidere le grãd ⁊ horrible blaspheme	¶ Apres avoir considere le grand et horrible blaspheme
estre a pñt cõmis ꝯtre la saĩcte institutiõ de la cene	estre a present commis contre la saincte institution de la cene
chose feincte ⁊ cõtrouuee au grãd deshõneur de Ie¬	chose feincte et controuvee au grand deshonneur de Je¬
sus Christ ⁊ de son eglise/ auõs obtenu ce pñt liure	sus Christ et de son eglise/ avons obtenu ce present livre
de son autheur/ affin de pouoir subuenir a la sim¬	de son autheur/ affin de povoir subvenir a la sim¬
plicite ⁊ ignorãce daucũs: ⁊ rebouter labuz ⁊ teme¬	plicite et ignorance d’aucuns: et rebouter l’abuz et teme¬
traicte est submis au iugemẽt de tous/ entre lesq̃lz	traicte est submis au jugement de tous/ entre lesquelz
grãde uariete y a: nous priõs tous amateurs de ue¬	grande variete y a: nous prions tous amateurs de ve¬
rite/ de ne dõner sentẽce a la uollee/ cõme uoulant	rite/ de ne donner sentence a la vollee/ comme voulant
estimer du tiltre ou dune portiõ le totage du liure/	estimer du tiltre ou d’une portion le totage du livre/
ce par la saĩcte escripture/ par laq̃lle toute chose se	ce par la saincte escripture/ par laquelle toute chose se
doibt rigler/ estimer/ ⁊ peser: puis en iuger. Autre¬	doibt rigler/ estimer/ et peser: puis en juger. Autre¬
ment cõme dit le Iuriscõsulte au traicte de legibus	ment comme dit le Jurisconsulte au traicte de legibus
Cest chose inciuile/ sans auoir ueu toute la loy/ de	C’est chose incivile/ sans avoir veu toute la loy/ de
Hilaire au liure de la trinite supplie/ quil ne soit	Hilaire au livre de la trinite supplie/ qu’il ne soit
point ꝯdãne/ deuãt q̃ on aye leu ce qͥl auoit escript.	point condamne/ devant que on aye leu ce qu’il avoit escript.
Au surplus ne fault auoir esgart aux fauteurs de	Au surplus ne fault avoir esgart aux fauteurs de
lerreur qui cy est cõuaincu. Car cõme dit le can.	l’erreur qui cy est convaincu. Car comme dit le can.
ne doyuẽt point estre iuges. Au moyen dequoy iu¬	ne doyvent point estre juges. Au moyen dequoy ju¬
gez uous mesmes iuste iugement/ ⁊ comme deuant	gez vous mesmes juste jugement/ et comme devant
Dieu/ estimãs que iceluy est uerite: selon laquelle	Dieu/ estimans que iceluy est verite: selon laquelle
tous serons iugez/ par Iesus Christ aux grandz	tous serons jugez/ par Jesus Christ aux grandz
Preface de Lautheur.	Preface de L’autheur.
N	N¬
Ous auons la parolle	Ous avons la parolle
des ꝓphetes ferme/ a la¬	des prophetes ferme/ a la¬
de regarder/ comme a la	de regarder/ comme a la
chandelle luysante en lieu obscur/	chandelle luysante en lieu obscur/
iusq̃s a ce q̃ le iour cõmence a luyre/	jusques a ce que le jour commence a luyre/
⁊ que lestoille du iour se lieue en uoz	et que l’estoille du jour se lieve en voz
que lescripture saincte nest point cõ¬	que l’escripture saincte n’est point con¬
gneue par nostre propre expositiõ.	gneue par nostre propre exposition.
Car prophetie na point este baillee	Car prophetie n’a point este baillee
en aucun tẽps par uolũte humaine:	en aucun temps par volunte humaine:
inspirez du sainct esperit lont dicte.	inspirez du sainct esperit l’ont dicte.
Et pourtãt (cõme dit sainct Paul)	Et pourtant (comme dit sainct Paul)
toute escripture diuinemẽt inspiree	toute escripture divinement inspiree
est utile a endoctriner/ a reprẽdre/ a	est utile a endoctriner/ a reprendre/ a
q̃ lhõme de dieu soit entier/ instruict	que l’homme de dieu soit entier/ instruict
a toute bonne oeuure. Par lesquelz	a toute bonne oeuvre. Par lesquelz
tãt euidentz passages nous est ap¬	tant evidentz passages nous est ap¬
pertemẽt mõstre que la reigle de nr̃e	pertement monstre que la reigle de notre
dieu/ selon laquelle seulemẽt nous	dieu/ selon laquelle seulement nous
Preface	Preface
debuons tous croire ⁊ tenir/ en tout	debvons tous croire et tenir/ en tout
cela qui cõcerne dieu ⁊ nostre salut.	cela qui concerne dieu et nostre salut.
nous exhorte le saĩct apostre de Ie¬	nous exhorte le sainct apostre de Je¬
sus christ/ disant en ceste maniere:	sus christ/ disant en ceste maniere:
Procedõs dune mesme reigle a ce a	Procedons d’une mesme reigle a ce a
quoy nous sommes paruenus: af¬	quoy nous sommes parvenus: af¬
Or est il certain que en suyuant	Or est il certain que en suyvant
les opiniõs ⁊ fantasies des hõmes	les opinions et fantasies des hommes
(lesq̃lles entre elles mesme sont tãt	(lesquelles entre elles mesme sont tant
differentes/ tant uariables et con¬	differentes/ tant variables et con¬
mais ne pourrõs estre dung accord:	mais ne pourrons estre d’ung accord:
mais nous est besoing prendre une	mais nous est besoing prendre une
seule escripture pour nostre clarte ⁊	seule escripture pour nostre clarte et
lumiere/ pour nr̃e directiõ ⁊ adresse:	lumiere/ pour notre direction et adresse:
entiere reigle/ qͥ ne peult ny ne doibt	entiere reigle/ qui ne peult ny ne doibt
estre aultre que la seule parolle de	estre aultre que la seule parolle de
dieu, pourtãt que en cela qui cõcerne	dieu, pourtant que en cela qui concerne
choses diuines tout hõme est men¬	choses divines tout homme est men¬
quoy tresbien conclud iceluy sainct	quoy tres bien conclud iceluy sainct
de Lautheur.	de L’autheur.
apostre/ que quiconq̃s suyurõt ceste	apostre/ que quiconques suyvront ceste
reigle/ paix sera sur eulx et miseri¬	reigle/ paix sera sur eulx et miseri¬
tres: car il ny a que une seule uoye	tres: car il n’y a que une seule voye
de salut. Il est donc tres euidẽt que	de salut. Il est donc tres evident que
la saĩcte escripture/ est la seule pierre	la saincte escripture/ est la seule pierre
⁊ seul fondement de nostre foy: par	et seul fondement de nostre foy: par
tenir chose qui soit touchant les cho	tenir chose qui soit touchant les cho¬
ses diuines: sinon ainsi quil est con¬	ses divines: sinon ainsi qu’il est con¬
tenu aux sainctes escriptures/ sans	tenu aux sainctes escriptures/ sans
rien y changer/ accroistre ou dimi¬	rien y changer/ accroistre ou dimi¬
foy: mais folle opinion/ ymagina¬	foy: mais folle opinion/ ymagina¬
tiõ/ sõge/ erreur/ deceptiõ ⁊ resuerie.	tion/ songe/ erreur/ deception et resverie.
Parquoy nest licite a aucune creatu	Parquoy n’est licite a aucune creatu¬
re de entreprendre/ adiouster/ inuen	re de entreprendre/ adjouster/ inven¬
cõque a icelle tressaincte ⁊ immacu¬	conque a icelle tres saincte et immacu¬
lee parolle: mais en tout ⁊ par tout	lee parolle: mais en tout et par tout
on la doibt prendre et laisser en sa	on la doibt prendre et laisser en sa
droicte purete ⁊ claire simplicite: sãs	droicte purete et claire simplicite: sans
q̃ le sainct esperit ne la reuelee. Et ce	que le sainct esperit ne la revelee. Et ce
Preface	Preface
sur peine de malediction eternelle/	sur peine de malediction eternelle/
uoyre et feust ung ange du ciel.	voyre et feust ung ange du ciel.
temps ne coustume au cõtraire/ cõ¬	temps ne coustume au contraire/ com¬
bien longue q̃lle soit ou puisse estre:	bien longue quelle soit ou puisse estre:
pourtãt que le seigneur dieu est im¬	pourtant que le seigneur dieu est im¬
muable. Parquoy le droict diuin ne	muable. Parquoy le droict divin ne
longueur ou antiquite de temps/ ne	longueur ou antiquite de temps/ ne
mue ou chãge par traditiõs ou cõsti	mue ou change par traditions ou consti¬
tutions dhõmes. Car la parolle de	tutions d’hommes. Car la parolle de
dieu demeure eternellement stable/	dieu demeure eternellement stable/
sance ne peult au cõtraire. Et si par	sance ne peult au contraire. Et si par
quelque tẽps on a uescu/ dit/ p̃sche/	quelque temps on a vescu/ dit/ presche/
escript/ diffinit/ creu ⁊ enseigne au¬	escript/ diffinit/ creu et enseigne au¬
trement que icelle saincte parolle ne	trement que icelle saincte parolle ne
de allegation. Car le tẽps combien	de allegation. Car le temps combien
long quil soit nest rien estime ou re¬	long qu’il soit n’est rien estime ou re¬
pute en la p̃sence de dieu/ ainsi que il	pute en la presence de dieu/ ainsi que il
est escript: Mille ans en la p̃sence de	est escript: Mille ans en la presence de
dire cõme riẽ, ou bien peu de chose.	dire comme rien, ou bien peu de chose.
de Lautheur.	de L’autheur.
Dauãtaige/ dieu a ordõne tẽps	Davantaige/ dieu a ordonne temps
oportun/ iouxte son bon plaisir/ au¬	oportun/ jouxte son bon plaisir/ au¬
fester sa uerite/ lequel tẽps ne poeut	fester sa verite/ lequel temps ne poeut
estre auãce ne retarde. Car le ꝓpos	estre avance ne retarde. Car le propos
de dieu est immuable/ ce que noꝰ est	de dieu est immuable/ ce que nous est
appertemẽt mõstre ⁊ declaire en la	appertement monstre et declaire en la
filz/ lequel nest point incõtinẽt ue¬	filz/ lequel n’est point incontinent ve¬
nu apres la trãsgression de Adam:	nu apres la transgression de Adam:
mais a longuement attendu/ ⁊ par	mais a longuement attendu/ et par
lespace de plus de troys mille ans a	l’espace de plus de troys mille ans a
non obstant/ quãd la plenitude du	non obstant/ quand la plenitude du
tẽps ordõne de dieu a este accõplye/	temps ordonne de dieu a este accomplye/
alors il a enuoye son filz faict dune	alors il a envoye son filz faict d’une
fẽme/ faict soubz la loy: affin qͥl ra¬	femme/ faict soubz la loy: affin qu’il ra¬
Or apres nous auoir faict ceste	Or apres nous avoir faict ceste
